23:47:27  |  Core  |  Warning  |  dublicate resource name 'arrow'  |  .\src\MyGUI_ResourceManager.cpp  |  107
23:47:27  |  Core  |  Warning  |  dublicate resource name 'beam'  |  .\src\MyGUI_ResourceManager.cpp  |  107
23:47:27  |  Core  |  Warning  |  dublicate resource name 'size_left'  |  .\src\MyGUI_ResourceManager.cpp  |  107
23:47:27  |  Core  |  Warning  |  dublicate resource name 'size_right'  |  .\src\MyGUI_ResourceManager.cpp  |  107
23:47:27  |  Core  |  Warning  |  dublicate resource name 'size_horz'  |  .\src\MyGUI_ResourceManager.cpp  |  107
23:47:27  |  Core  |  Warning  |  dublicate resource name 'size_vert'  |  .\src\MyGUI_ResourceManager.cpp  |  107
23:47:27  |  Core  |  Warning  |  dublicate resource name 'hand'  |  .\src\MyGUI_ResourceManager.cpp  |  107
23:47:27  |  Core  |  Warning  |  dublicate resource name 'link'  |  .\src\MyGUI_ResourceManager.cpp  |  107
23:47:27  |  Platform  |  Info  |  device D3D lost  |  .\DirectX\DirectXPlatform\src\MyGUI_DirectXRenderManager.cpp  |  260
23:47:27  |  Platform  |  Info  |  device D3D restore  |  .\DirectX\DirectXPlatform\src\MyGUI_DirectXRenderManager.cpp  |  270
23:47:27  |  Core  |  Info  |  Load ini file 'MyGUI_BlackBlueImages.xml'  |  .\src\MyGUI_ResourceManager.cpp  |  129
23:47:27  |  Core  |  Warning  |  dublicate resource name 'MultiListButtonImage'  |  .\src\MyGUI_ResourceManager.cpp  |  107
23:47:27  |  Core  |  Info  |  Load ini file 'MyGUI_BlackBlueSkins.xml'  |  .\src\MyGUI_ResourceManager.cpp  |  129
23:47:27  |  Core  |  Warning  |  dublicate resource name 'CheckBoxSkin'  |  .\src\MyGUI_ResourceManager.cpp  |  107
23:47:27  |  Core  |  Warning  |  dublicate resource name 'RadioButtonSkin'  |  .\src\MyGUI_ResourceManager.cpp  |  107
23:47:27  |  Core  |  Warning  |  dublicate resource name 'ButtonCloseSkin'  |  .\src\MyGUI_ResourceManager.cpp  |  107
23:47:27  |  Core  |  Warning  |  dublicate resource name 'ButtonDownSkin'  |  .\src\MyGUI_ResourceManager.cpp  |  107
23:47:27  |  Core  |  Warning  |  dublicate resource name 'ButtonUpSkin'  |  .\src\MyGUI_ResourceManager.cpp  |  107
23:47:27  |  Core  |  Warning  |  dublicate resource name 'ButtonLeftSkin'  |  .\src\MyGUI_ResourceManager.cpp  |  107
23:47:27  |  Core  |  Warning  |  dublicate resource name 'ButtonRightSkin'  |  .\src\MyGUI_ResourceManager.cpp  |  107
23:47:27  |  Core  |  Warning  |  dublicate resource name 'SliderTrackVSkin'  |  .\src\MyGUI_ResourceManager.cpp  |  107
23:47:27  |  Core  |  Warning  |  dublicate resource name 'ScrollTrackVSkin'  |  .\src\MyGUI_ResourceManager.cpp  |  107
23:47:27  |  Core  |  Warning  |  dublicate resource name 'SliderTrackHSkin'  |  .\src\MyGUI_ResourceManager.cpp  |  107
23:47:27  |  Core  |  Warning  |  dublicate resource name 'ScrollTrackHSkin'  |  .\src\MyGUI_ResourceManager.cpp  |  107
23:47:27  |  Core  |  Warning  |  dublicate resource name 'ButtonSkin'  |  .\src\MyGUI_ResourceManager.cpp  |  107
23:47:27  |  Core  |  Warning  |  dublicate resource name 'ButtonEmptySkin'  |  .\src\MyGUI_ResourceManager.cpp  |  107
23:47:27  |  Core  |  Warning  |  dublicate resource name 'EditBoxSkin'  |  .\src\MyGUI_ResourceManager.cpp  |  107
23:47:27  |  Core  |  Warning  |  dublicate resource name 'MenuBarSkin'  |  .\src\MyGUI_ResourceManager.cpp  |  107
23:47:27  |  Core  |  Warning  |  dublicate resource name 'MenuItemSkin'  |  .\src\MyGUI_ResourceManager.cpp  |  107
23:47:27  |  Core  |  Warning  |  dublicate resource name 'ScrollPanelHSkin'  |  .\src\MyGUI_ResourceManager.cpp  |  107
23:47:27  |  Core  |  Warning  |  dublicate resource name 'ScrollPanelVSkin'  |  .\src\MyGUI_ResourceManager.cpp  |  107
23:47:27  |  Core  |  Warning  |  dublicate resource name 'ListBoxItemSkin'  |  .\src\MyGUI_ResourceManager.cpp  |  107
23:47:27  |  Core  |  Warning  |  dublicate resource name 'SepDownHSkin'  |  .\src\MyGUI_ResourceManager.cpp  |  107
23:47:27  |  Core  |  Warning  |  dublicate resource name 'SepUpHSkin'  |  .\src\MyGUI_ResourceManager.cpp  |  107
23:47:27  |  Core  |  Warning  |  dublicate resource name 'SepDownVSkin'  |  .\src\MyGUI_ResourceManager.cpp  |  107
23:47:27  |  Core  |  Warning  |  dublicate resource name 'SepUpVSkin'  |  .\src\MyGUI_ResourceManager.cpp  |  107
23:47:27  |  Core  |  Warning  |  dublicate resource name 'ClientDefaultSkin'  |  .\src\MyGUI_ResourceManager.cpp  |  107
23:47:27  |  Core  |  Warning  |  dublicate resource name 'ClientTileSkin'  |  .\src\MyGUI_ResourceManager.cpp  |  107
23:47:27  |  Core  |  Warning  |  dublicate resource name 'PanelSkin'  |  .\src\MyGUI_ResourceManager.cpp  |  107
23:47:27  |  Core  |  Warning  |  dublicate resource name 'WhiteSkin'  |  .\src\MyGUI_ResourceManager.cpp  |  107
23:47:27  |  Core  |  Warning  |  dublicate resource name 'CaptionEmptySkin'  |  .\src\MyGUI_ResourceManager.cpp  |  107
23:47:27  |  Core  |  Warning  |  dublicate resource name 'CaptionSkin'  |  .\src\MyGUI_ResourceManager.cpp  |  107
23:47:27  |  Core  |  Warning  |  dublicate resource name 'CaptionWithButtonSkin'  |  .\src\MyGUI_ResourceManager.cpp  |  107
23:47:27  |  Core  |  Warning  |  dublicate resource name 'WindowFrameSkin'  |  .\src\MyGUI_ResourceManager.cpp  |  107
23:47:27  |  Core  |  Warning  |  dublicate resource name 'WindowResizeLeftDownSkin'  |  .\src\MyGUI_ResourceManager.cpp  |  107
23:47:27  |  Core  |  Warning  |  dublicate resource name 'WindowResizeRightDownSkin'  |  .\src\MyGUI_ResourceManager.cpp  |  107
23:47:27  |  Core  |  Warning  |  dublicate resource name 'TabHeaderButtonSkin'  |  .\src\MyGUI_ResourceManager.cpp  |  107
23:47:27  |  Core  |  Warning  |  dublicate resource name 'TabHeaderEmptySkin'  |  .\src\MyGUI_ResourceManager.cpp  |  107
23:47:27  |  Core  |  Warning  |  dublicate resource name 'TabPanelSkin'  |  .\src\MyGUI_ResourceManager.cpp  |  107
23:47:27  |  Core  |  Warning  |  dublicate resource name 'MenuItemNormalSkin'  |  .\src\MyGUI_ResourceManager.cpp  |  107
23:47:27  |  Core  |  Warning  |  dublicate resource name 'MenuItemPopupButtonSkin'  |  .\src\MyGUI_ResourceManager.cpp  |  107
23:47:27  |  Core  |  Warning  |  dublicate resource name 'MenuItemCheckButtonSkin'  |  .\src\MyGUI_ResourceManager.cpp  |  107
23:47:27  |  Core  |  Warning  |  dublicate resource name 'ProgressBarTrackHSkin'  |  .\src\MyGUI_ResourceManager.cpp  |  107
23:47:27  |  Core  |  Warning  |  dublicate resource name 'MultiListButtonSkin'  |  .\src\MyGUI_ResourceManager.cpp  |  107
23:47:27  |  Core  |  Info  |  Load ini file 'MyGUI_BlackBlueTemplates.xml'  |  .\src\MyGUI_ResourceManager.cpp  |  129
23:47:27  |  Core  |  Warning  |  dublicate resource name 'CheckBox'  |  .\src\MyGUI_ResourceManager.cpp  |  107
23:47:27  |  Core  |  Warning  |  dublicate resource name 'RadioButton'  |  .\src\MyGUI_ResourceManager.cpp  |  107
23:47:27  |  Core  |  Warning  |  dublicate resource name 'ScrollBarH'  |  .\src\MyGUI_ResourceManager.cpp  |  107
23:47:27  |  Core  |  Warning  |  dublicate resource name 'ScrollBarV'  |  .\src\MyGUI_ResourceManager.cpp  |  107
23:47:27  |  Core  |  Warning  |  dublicate resource name 'SliderH'  |  .\src\MyGUI_ResourceManager.cpp  |  107
23:47:27  |  Core  |  Warning  |  dublicate resource name 'SliderV'  |  .\src\MyGUI_ResourceManager.cpp  |  107
23:47:27  |  Core  |  Warning  |  dublicate resource name 'SliderHEmpty'  |  .\src\MyGUI_ResourceManager.cpp  |  107
23:47:27  |  Core  |  Warning  |  dublicate resource name 'SliderVEmpty'  |  .\src\MyGUI_ResourceManager.cpp  |  107
23:47:27  |  Core  |  Warning  |  dublicate resource name 'Button'  |  .\src\MyGUI_ResourceManager.cpp  |  107
23:47:27  |  Core  |  Warning  |  dublicate resource name 'ButtonImage'  |  .\src\MyGUI_ResourceManager.cpp  |  107
23:47:27  |  Core  |  Warning  |  dublicate resource name 'TextBox'  |  .\src\MyGUI_ResourceManager.cpp  |  107
23:47:27  |  Core  |  Warning  |  dublicate resource name 'EditBox'  |  .\src\MyGUI_ResourceManager.cpp  |  107
23:47:27  |  Core  |  Warning  |  dublicate resource name 'EditBoxStretch'  |  .\src\MyGUI_ResourceManager.cpp  |  107
23:47:27  |  Core  |  Warning  |  dublicate resource name 'EditBoxEmpty'  |  .\src\MyGUI_ResourceManager.cpp  |  107
23:47:27  |  Core  |  Warning  |  dublicate resource name 'WordWrapEmpty'  |  .\src\MyGUI_ResourceManager.cpp  |  107
23:47:27  |  Core  |  Warning  |  dublicate resource name 'ComboBox'  |  .\src\MyGUI_ResourceManager.cpp  |  107
23:47:27  |  Core  |  Warning  |  dublicate resource name 'Window'  |  .\src\MyGUI_ResourceManager.cpp  |  107
23:47:27  |  Core  |  Warning  |  dublicate resource name 'WindowC'  |  .\src\MyGUI_ResourceManager.cpp  |  107
23:47:27  |  Core  |  Warning  |  dublicate resource name 'WindowCS'  |  .\src\MyGUI_ResourceManager.cpp  |  107
23:47:27  |  Core  |  Warning  |  dublicate resource name 'WindowCX'  |  .\src\MyGUI_ResourceManager.cpp  |  107
23:47:27  |  Core  |  Warning  |  dublicate resource name 'WindowCSX'  |  .\src\MyGUI_ResourceManager.cpp  |  107
23:47:27  |  Core  |  Warning  |  dublicate resource name 'MenuBar'  |  .\src\MyGUI_ResourceManager.cpp  |  107
23:47:27  |  Core  |  Warning  |  dublicate resource name 'MenuBarButton'  |  .\src\MyGUI_ResourceManager.cpp  |  107
23:47:27  |  Core  |  Warning  |  dublicate resource name 'MenuBarSeparator'  |  .\src\MyGUI_ResourceManager.cpp  |  107
23:47:27  |  Core  |  Warning  |  dublicate resource name 'PopupMenu'  |  .\src\MyGUI_ResourceManager.cpp  |  107
23:47:27  |  Core  |  Warning  |  dublicate resource name 'PopupMenuSeparator'  |  .\src\MyGUI_ResourceManager.cpp  |  107
23:47:27  |  Core  |  Warning  |  dublicate resource name 'PopupMenuNormal'  |  .\src\MyGUI_ResourceManager.cpp  |  107
23:47:27  |  Core  |  Warning  |  dublicate resource name 'PopupMenuPopup'  |  .\src\MyGUI_ResourceManager.cpp  |  107
23:47:27  |  Core  |  Warning  |  dublicate resource name 'ProgressBar'  |  .\src\MyGUI_ResourceManager.cpp  |  107
23:47:27  |  Core  |  Warning  |  dublicate resource name 'ProgressBarFill'  |  .\src\MyGUI_ResourceManager.cpp  |  107
23:47:27  |  Core  |  Warning  |  dublicate resource name 'ListBoxItem'  |  .\src\MyGUI_ResourceManager.cpp  |  107
23:47:27  |  Core  |  Warning  |  dublicate resource name 'ListBox'  |  .\src\MyGUI_ResourceManager.cpp  |  107
23:47:27  |  Core  |  Warning  |  dublicate resource name 'ItemBox'  |  .\src\MyGUI_ResourceManager.cpp  |  107
23:47:27  |  Core  |  Warning  |  dublicate resource name 'ItemBoxEmpty'  |  .\src\MyGUI_ResourceManager.cpp  |  107
23:47:27  |  Core  |  Warning  |  dublicate resource name 'ScrollView'  |  .\src\MyGUI_ResourceManager.cpp  |  107
23:47:27  |  Core  |  Warning  |  dublicate resource name 'ScrollViewEmpty'  |  .\src\MyGUI_ResourceManager.cpp  |  107
23:47:27  |  Core  |  Warning  |  dublicate resource name 'TabHeaderButton'  |  .\src\MyGUI_ResourceManager.cpp  |  107
23:47:27  |  Core  |  Warning  |  dublicate resource name 'TabControl'  |  .\src\MyGUI_ResourceManager.cpp  |  107
23:47:27  |  Core  |  Warning  |  dublicate resource name 'MultiListBox'  |  .\src\MyGUI_ResourceManager.cpp  |  107
23:47:27  |  Core  |  Warning  |  dublicate resource name 'MultiListButton'  |  .\src\MyGUI_ResourceManager.cpp  |  107
23:47:27  |  Core  |  Warning  |  dublicate resource name 'MultiSubListBox'  |  .\src\MyGUI_ResourceManager.cpp  |  107
23:47:28  |  Platform  |  Info  |  device D3D lost  |  .\DirectX\DirectXPlatform\src\MyGUI_DirectXRenderManager.cpp  |  260
23:47:28  |  Platform  |  Info  |  device D3D restore  |  .\DirectX\DirectXPlatform\src\MyGUI_DirectXRenderManager.cpp  |  270
